CustomerID,Age,Income,LoanAmount,LoanTenure,CreditScore,ExistingLoansCount,MonthlyEMI,TotalAssets,TotalLiabilities,NetMonthlyIncome,EmploymentType,MaritalStatus,EducationLevel,PropertyOwnership,LoanPurpose,RiskFlag
CUST00107,50,488159,2405846,16,811,0,12530,9406188,5599141,40679,Unemployed,Married,Post-Graduate,Owned,Personal,0
CUST00108,42,2345775,2356626,8,614,4,24548,835722,6194687,195481,Salaried,Single,High School,Mortgaged,Home,1
CUST00109,52,182750,3412417,24,508,0,11848,8891089,4839297,15229,Unemployed,Married,High School,Rented,Personal,1
CUST00110,33,559554,2637027,8,767,4,27469,130470,925633,46629,Self-Employed,Married,Post-Graduate,Mortgaged,Medical,1
CUST00111,55,689691,3652356,10,812,4,30436,7795851,922757,57474,Salaried,Married,Graduate,Rented,Home,1
CUST00112,45,806349,3831420,16,841,0,19955,3351201,3120500,67195,Salaried,Married,High School,Mortgaged,Home,0
CUST00113,41,459782,4604582,25,479,1,15348,5224849,3604800,38315,Self-Employed,Single,Graduate,Owned,Car,1
CUST00114,43,192209,4006261,12,725,4,27821,2893986,7988876,16017,Self-Employed,Single,Post-Graduate,Owned,Business,1
CUST00115,46,1742497,2612645,15,654,3,14514,4957018,2291800,145208,Salaried,Married,Post-Graduate,Mortgaged,Personal,0
CUST00116,23,2427878,2486158,2,569,0,103589,4570463,1540726,202323,Self-Employed,Widowed,Graduate,Mortgaged,Business,0
CUST00117,28,436306,1216757,4,538,5,25349,5344482,7567210,36358,Business Owner,Single,Doctorate,Rented,Business,1
CUST00118,32,846857,3017987,2,368,1,125749,3993499,1231708,70571,Salaried,Single,Graduate,Rented,Personal,0
CUST00119,26,1339875,738720,3,464,0,20520,5412023,211220,111656,Salaried,Married,Graduate,Rented,Medical,0
CUST00120,40,2329630,4659619,26,629,5,14934,8272037,3382402,194135,Salaried,Married,Graduate,Rented,Car,1
CUST00121,50,1781516,4232969,25,831,0,14109,4402174,3208653,148459,Self-Employed,Single,Graduate,Owned,Home,0
CUST00122,50,1950542,642681,24,819,3,2231,3677614,4957348,162545,Salaried,Married,Graduate,Mortgaged,Education,0
CUST00123,42,1515624,3940481,2,412,5,164186,1404372,7021877,126302,Business Owner,Married,High School,Owned,Personal,1
CUST00124,58,1130034,629662,3,707,3,17490,3661206,7463206,94169,Salaried,Married,Graduate,Rented,Car,0
CUST00125,46,619472,3620064,9,350,3,33519,1344072,2317111,51622,Self-Employed,Single,Post-Graduate,Owned,Car,1
CUST00126,25,2181138,484159,17,705,2,2373,1906777,7846569,181761,Salaried,Single,High School,Owned,Home,0
CUST00127,54,2039692,2466557,10,505,0,20554,9527272,5061288,169974,Salaried,Married,Graduate,Rented,Medical,0
CUST00128,46,208988,3306423,15,569,3,18369,985203,557125,17415,Self-Employed,Married,Graduate,Rented,Business,1
CUST00129,49,1831206,3657613,6,730,5,50800,4872104,7507571,152600,Salaried,Divorced,Graduate,Rented,Medical,1
CUST00130,46,348312,2122111,22,554,0,8038,8359573,1103980,29026,Salaried,Married,Post-Graduate,Owned,Education,1
CUST00131,45,1886612,4612036,10,784,5,38433,9536734,4708765,157217,Unemployed,Married,Post-Graduate,Mortgaged,Personal,1
CUST00132,25,2090991,3882891,2,620,2,161787,1552467,6325903,174249,Unemployed,Widowed,Post-Graduate,Rented,Business,0
CUST00133,46,457985,1080910,22,899,3,4094,1719411,1995505,38165,Business Owner,Married,High School,Mortgaged,Personal,0
CUST00134,56,1169514,3372595,27,682,0,10409,3788709,2165057,97459,Salaried,Married,Graduate,Owned,Car,0
CUST00135,35,440821,3666146,1,477,3,305512,5588723,3809416,36735,Self-Employed,Divorced,Graduate,Rented,Education,1
CUST00136,47,1483113,1701506,13,765,1,10907,9602095,7078792,123592,Business Owner,Single,Graduate,Rented,Medical,0
CUST00137,23,2329771,3704245,24,544,1,12861,2156400,1788826,194147,Salaried,Married,High School,Rented,Education,0
CUST00138,36,340043,4496914,21,620,4,17844,1727511,5307626,28336,Salaried,Married,Graduate,Owned,Business,1
CUST00139,40,1084308,4094715,25,382,0,13649,2606527,3620733,90359,Business Owner,Single,Graduate,Owned,Business,1
CUST00140,64,2436833,3824534,13,371,2,24516,8755762,894758,203069,Salaried,Married,Graduate,Rented,Home,0
CUST00141,31,857229,3190762,11,644,3,24172,397540,5687014,71435,Self-Employed,Single,High School,Owned,Medical,1
CUST00142,33,460709,1389147,21,412,0,5512,3863321,6660234,38392,Unemployed,Single,Post-Graduate,Rented,Education,0
CUST00143,39,1298172,3986353,5,898,1,66439,1277637,4605072,108181,Self-Employed,Married,Post-Graduate,Owned,Personal,0
CUST00144,64,1344675,1852750,7,813,2,22056,1655021,1410851,112056,Salaried,Single,Graduate,Owned,Car,0
CUST00145,58,1707730,2684374,18,720,3,12427,9176799,1245805,142310,Salaried,Married,Post-Graduate,Rented,Education,0
CUST00146,23,887283,1606477,20,740,5,6693,116449,3387963,73940,Salaried,Divorced,High School,Rented,Car,1
CUST00147,32,2395714,1599434,4,657,5,33321,3283176,4051350,199642,Salaried,Married,Post-Graduate,Rented,Home,0
CUST00148,57,1374403,830177,15,336,1,4612,9162702,4417479,114533,Self-Employed,Single,Doctorate,Rented,Medical,0
CUST00149,24,823148,4808423,11,535,0,36427,6120479,1949247,68595,Business Owner,Single,High School,Mortgaged,Home,0
CUST00150,58,2406668,781527,15,597,0,4341,810376,4006129,200555,Salaried,Single,Post-Graduate,Rented,Education,0
CUST00151,34,2323299,476981,28,849,3,1419,4703639,2360632,193608,Salaried,Single,Doctorate,Rented,Car,0
CUST00152,61,1323037,4683830,3,431,0,130106,9712365,5489303,110253,Business Owner,Divorced,Post-Graduate,Mortgaged,Home,0
CUST00153,34,208419,2797315,29,598,1,8038,4064467,6371792,17368,Salaried,Married,Doctorate,Rented,Education,1
CUST00154,40,1552799,2217624,14,506,5,13200,5333449,5221493,129399,Salaried,Single,Graduate,Mortgaged,Business,1
CUST00155,50,1454715,3700582,23,380,5,13407,5365672,9978,121226,Salaried,Married,High School,Mortgaged,Business,1
CUST00156,27,498289,1947433,13,361,5,12483,6638426,7936336,41524,Self-Employed,Married,Post-Graduate,Owned,Education,1
CUST00157,45,1639841,683212,10,519,1,5693,1953665,190140,136653,Salaried,Single,Graduate,Rented,Personal,0
CUST00158,43,2125864,3661944,23,349,3,13267,8412876,7995375,177155,Self-Employed,Single,Graduate,Rented,Business,1
CUST00159,55,398858,921197,20,340,3,3838,9887178,254195,33238,Salaried,Married,Graduate,Mortgaged,Car,0
CUST00160,64,1849808,2787315,5,510,1,46455,1511279,4131675,154150,Self-Employed,Married,Graduate,Rented,Business,0
CUST00161,50,479798,4747877,21,421,3,18840,8201247,847767,39983,Salaried,Single,High School,Owned,Home,1
CUST00162,39,1909741,4683892,22,632,3,17742,8187405,761592,159145,Salaried,Divorced,Post-Graduate,Rented,Car,0
CUST00163,39,1134918,1835875,12,310,2,12749,7441984,5467166,94576,Salaried,Divorced,High School,Owned,Education,0
CUST00164,39,165300,3912492,27,481,4,12075,3771678,5822746,13775,Salaried,Married,Post-Graduate,Mortgaged,Home,1
CUST00165,57,2420644,3082745,19,571,4,13520,4740717,945893,201720,Salaried,Single,Post-Graduate,Rented,Medical,0
CUST00166,35,540030,2422879,10,877,3,20190,8408192,7813312,45002,Salaried,Single,Graduate,Rented,Business,0
CUST00167,29,576450,742644,1,680,4,61887,1613483,2563691,48037,Salaried,Divorced,Graduate,Mortgaged,Education,0
CUST00168,36,2342604,1912979,20,828,4,7970,8304575,2546611,195217,Salaried,Single,Graduate,Rented,Business,0
CUST00169,22,1885065,3276994,7,505,3,39011,9214591,2375818,157088,Unemployed,Married,Doctorate,Rented,Medical,0
CUST00170,26,2040248,4933826,22,569,1,18688,6850500,3689671,170020,Salaried,Married,Post-Graduate,Mortgaged,Medical,0
CUST00171,25,1165387,74208,16,552,4,386,3479731,1422673,97115,Business Owner,Single,Graduate,Mortgaged,Medical,0
CUST00172,55,1248346,3602913,14,832,4,21445,5635595,3398215,104028,Unemployed,Married,High School,Mortgaged,Personal,0
CUST00173,53,1640607,4239367,5,875,5,70656,596056,1679850,136717,Salaried,Divorced,Graduate,Owned,Home,1
CUST00174,51,1994194,4758413,21,877,0,18882,9324857,411353,166182,Self-Employed,Married,Graduate,Rented,Business,0
CUST00175,41,2140401,2147828,5,751,2,35797,3489796,2949894,178366,Business Owner,Married,Doctorate,Owned,Personal,0
CUST00176,52,191916,636468,13,601,5,4079,665273,5378115,15993,Self-Employed,Divorced,Post-Graduate,Mortgaged,Business,1
CUST00177,28,1709369,1391287,25,624,3,4637,7965124,6104718,142447,Salaried,Married,Graduate,Rented,Business,0
CUST00178,60,406488,4260141,27,888,5,13148,6609826,2826701,33874,Salaried,Married,Post-Graduate,Rented,Car,1
CUST00179,43,826639,4395777,29,470,0,12631,6264816,2589970,68886,Salaried,Married,Graduate,Owned,Education,0
CUST00180,62,2099157,3203515,28,508,0,9534,635557,6299710,174929,Salaried,Married,Post-Graduate,Rented,Car,1
CUST00181,28,738705,657565,17,838,4,3223,7533301,5449506,61558,Unemployed,Single,Graduate,Rented,Home,0
CUST00182,43,2022520,653512,6,531,2,9076,6409442,6656960,168543,Unemployed,Single,Graduate,Owned,Business,0
CUST00183,51,1238068,2416951,25,441,3,8056,7956990,7248811,103172,Salaried,Single,Post-Graduate,Owned,Business,1
CUST00184,43,696705,2961877,24,636,2,10284,8290567,6569846,58058,Self-Employed,Married,Graduate,Mortgaged,Business,1
CUST00185,41,935473,210274,29,495,2,604,2198350,7491885,77956,Salaried,Married,Post-Graduate,Mortgaged,Business,0
CUST00186,29,1397308,3446177,19,834,5,15114,2185333,3333327,116442,Business Owner,Married,Doctorate,Owned,Personal,1
CUST00187,38,1948095,2745324,5,845,0,45755,9245454,3157374,162341,Salaried,Married,High School,Owned,Personal,0
CUST00188,32,1574137,110898,15,483,4,616,5357164,2572365,131178,Unemployed,Married,High School,Mortgaged,Business,0
CUST00189,34,2343076,523603,13,617,5,3356,4436097,1881780,195256,Business Owner,Divorced,Post-Graduate,Rented,Personal,0
CUST00190,51,2189186,2298873,25,890,3,7662,2943296,5990566,182432,Salaried,Single,Graduate,Rented,Personal,0
CUST00191,49,1920380,3626797,12,745,2,25186,6426235,5715610,160031,Salaried,Married,High School,Rented,Car,0
CUST00192,48,1567301,4135727,10,429,0,34464,7564189,6411115,130608,Business Owner,Married,Graduate,Owned,Medical,0
CUST00193,37,831161,2184942,3,654,4,60692,122856,1339127,69263,Salaried,Married,Post-Graduate,Owned,Medical,1
CUST00194,63,1119543,1512027,25,671,2,5040,5571116,3930059,93295,Salaried,Single,Graduate,Rented,Medical,0
CUST00195,25,429401,4843136,22,692,0,18345,9934348,1775671,35783,Business Owner,Married,Graduate,Owned,Education,1
CUST00196,36,1029332,2319813,2,315,2,96658,2878336,7144248,85777,Self-Employed,Widowed,Post-Graduate,Owned,Car,1
CUST00197,27,2327209,1611179,13,479,5,10328,2880874,2139289,193934,Salaried,Married,Graduate,Rented,Home,1
CUST00198,36,1150822,2239454,14,812,1,13330,8793492,1151269,95901,Salaried,Divorced,Post-Graduate,Mortgaged,Personal,0
CUST00199,63,417262,109853,14,444,1,653,714424,4558913,34771,Salaried,Widowed,Graduate,Mortgaged,Medical,1
CUST00200,37,1682037,1544540,27,479,4,4767,4035459,7032550,140169,Unemployed,Married,Doctorate,Rented,Medical,1
CUST00201,61,2412144,2601994,5,493,1,43366,4636794,7325848,201012,Salaried,Married,Post-Graduate,Rented,Business,0
CUST00202,43,2188602,4596287,9,406,5,42558,7999005,768761,182383,Salaried,Married,High School,Rented,Education,1
CUST00203,52,794079,3704219,6,393,5,51447,1377397,2607147,66173,Salaried,Widowed,Post-Graduate,Rented,Medical,1
CUST00204,41,1216657,3917405,8,508,5,40806,4397182,1228204,101388,Unemployed,Single,Graduate,Rented,Medical,1
CUST00205,33,1397888,2747263,27,824,5,8479,1608034,2462926,116490,Salaried,Married,High School,Rented,Car,0
CUST00206,54,732422,597412,28,300,1,1778,7897590,4270720,61035,Business Owner,Divorced,High School,Rented,Business,0
CUST00207,63,781426,1985086,2,469,1,82711,6359599,2244574,65118,Self-Employed,Single,Post-Graduate,Mortgaged,Home,0
CUST00208,33,706156,4985321,19,336,2,21865,5017707,540147,58846,Business Owner,Married,High School,Mortgaged,Personal,1
CUST00209,55,2487266,268646,7,636,2,3198,3989981,4080238,207272,Unemployed,Married,Graduate,Owned,Business,0
CUST00210,33,1903133,4402040,6,450,5,61139,1616425,422456,158594,Business Owner,Widowed,High School,Rented,Personal,1
CUST00211,52,2126012,3438253,9,775,4,31835,9226339,1813568,177167,Unemployed,Divorced,Graduate,Owned,Business,0
CUST00212,55,2068936,1455346,6,651,3,20213,6511848,4149,172411,Salaried,Single,Graduate,Rented,Home,0
CUST00213,41,2403987,3901043,15,770,5,21672,3259649,694573,200332,Self-Employed,Married,Graduate,Owned,Personal,0
CUST00214,53,397403,4192638,29,680,3,12047,4197976,3490533,33116,Salaried,Single,Graduate,Owned,Medical,1
CUST00215,33,2221836,263934,18,563,2,1221,7289183,6805708,185153,Salaried,Married,High School,Mortgaged,Personal,0
CUST00216,25,306413,576776,21,816,2,2288,7223690,6196991,25534,Business Owner,Married,Graduate,Rented,Business,0
CUST00217,26,1267239,3345460,15,585,3,18585,4664884,790645,105603,Unemployed,Married,Graduate,Mortgaged,Education,0
CUST00218,41,1546919,4995568,1,869,0,416297,3098713,278706,128909,Self-Employed,Single,Post-Graduate,Owned,Medical,0
CUST00219,60,990973,168634,3,896,4,4684,6633517,2704698,82581,Salaried,Single,High School,Owned,Education,0
CUST00220,27,493507,3345139,8,653,3,34845,6616505,5218060,41125,Salaried,Married,High School,Rented,Business,1
CUST00221,41,601908,725796,8,704,4,7560,6036984,5973860,50159,Salaried,Married,Graduate,Owned,Home,0
CUST00222,52,2087960,3268118,25,453,3,10893,821236,6585018,173996,Salaried,Married,Graduate,Owned,Car,1
CUST00223,30,899001,3135408,25,788,4,10451,4780561,1344006,74916,Salaried,Single,Graduate,Mortgaged,Home,0
CUST00224,53,879286,497681,25,702,5,1658,6177799,210783,73273,Salaried,Single,Post-Graduate,Owned,Medical,0
CUST00225,35,2319900,3419604,19,841,3,14998,9505604,1174909,193325,Salaried,Divorced,Graduate,Owned,Car,0
CUST00226,56,488099,4490315,17,460,2,22011,5303074,521293,40674,Self-Employed,Single,Graduate,Rented,Car,1
CUST00227,46,2300877,4324046,19,772,0,18965,3492865,6886407,191739,Salaried,Married,Graduate,Rented,Business,0
CUST00228,45,2314280,193547,12,582,4,1344,5602351,2147306,192856,Unemployed,Divorced,High School,Rented,Education,0
CUST00229,29,1556615,1267286,20,411,5,5280,1854631,6584996,129717,Self-Employed,Single,Graduate,Rented,Home,1
